epoch,auc,ap,val_auc,val_ap
0,0.9580253765669632,0.001329566748492321,0.9985878201595333,0.9715724165963213
1,0.9396575487843835,0.0022511122544406864,0.9987568819286641,0.9906610119519419
2,0.9464325046400411,0.0038308764251967185,0.9989045769766022,0.9923274984723053
3,0.9466534785676239,0.005494664860177023,0.9987471421170178,0.9916805879967778
4,0.9478848216945124,0.004549546905974579,0.9988413072987752,0.9912054560284653
5,0.9545177597014051,0.003934225774909235,0.9987519587646236,0.990108551359607
6,0.9670117536609182,0.010264168560992869,0.9988912433580863,0.992539995355588
7,0.9728293071597149,0.02016325849431342,0.9989518213917731,0.9936977735453362
8,0.9708393248714259,0.04262795026724136,0.9988352826603759,0.993753716830908
9,0.9799738454993856,0.02993848242586354,0.9990838230153574,0.9943228767680063
10,0.9720368364345947,0.03671670821281662,0.9990482458011423,0.994239566101575
