epoch,auc,ap,val_auc,val_ap
0,0.6963474197232891,8.591280465575944e-05,0.9560189590015369,0.6035213664314509
1,0.7278913915313407,0.00010201434190687609,0.9937607179645866,0.9536355638006807
2,0.7537334459425334,0.0001160975349894592,0.9950312975901516,0.9558247273754469
3,0.7576623179534938,0.00012665313448243147,0.9959671600962648,0.9637889605238846
4,0.8031807653710468,0.0001548111659378303,0.996460074897889,0.9633182522845849
5,0.8371625581320594,0.00019141199149481182,0.9961038411285258,0.9569580194799365
6,0.883682774198566,0.00031272390090444273,0.9947396532868713,0.9240577447325251
7,0.8994170790989968,0.0003540930826539354,0.9950251536276473,0.9331886209180714
8,0.8928514921027968,0.0003236660895285093,0.9947670767687833,0.933792995939818
9,0.8960621614108666,0.00031260092524134096,0.9949331585885828,0.9264428797587442
10,0.8894400607910103,0.0003012928693671633,0.994236129296267,0.9152216051678229
