epoch,auc,ap,val_auc,val_ap
0,0.9481920627992515,0.00227823289591857,0.9967171617586332,0.9102572967274121
1,0.9133415419407163,0.0021709928225029846,0.9973523623214646,0.9623130169882741
2,0.9153216815170553,0.0010170398956820302,0.997080987396715,0.9752319361952009
3,0.9030803287241319,0.000791291275237807,0.9972683566132581,0.9787712702226951
4,0.9146096990802366,0.0008584668508060239,0.9975537209528457,0.9801094994053987
5,0.915466169501891,0.0022050380698377726,0.9975736466520203,0.9830109425836323
6,0.9299114889871781,0.000924816906171531,0.9981587711523238,0.9849996327307712
7,0.9514235351613891,0.003838035001208921,0.9982135040995931,0.9890539657161767
8,0.9572469227211925,0.006146837724545469,0.9983618616865935,0.9903140332170025
9,0.9702346743394673,0.008875821429549454,0.9984607621315533,0.9908770063509286
10,0.9747009735558173,0.01064368047034454,0.9988200626365051,0.9932345293621911
