epoch,auc,ap,val_auc,val_ap
0,0.9789891108583324,0.006233324570407802,0.9987119260107272,0.971955172057435
1,0.9787111961170003,0.035881887050528805,0.9990436822951015,0.9933257936949441
2,0.9797233923027168,0.04281470270892027,0.9991893608010304,0.9938986782968581
3,0.9813829280790579,0.05070164716493293,0.9989386341979911,0.9939873825498107
4,0.9800955284692027,0.05319775905277079,0.9990427234615263,0.9937551379989639
5,0.9772111346583755,0.04842658535877611,0.9989233115094169,0.9930919670104629
6,0.9689948094795872,0.03605871789141216,0.998961808922501,0.9929887032533099
7,0.965858033023112,0.02982398007423734,0.9987847458252676,0.9920219589704664
8,0.9518016787870741,0.024036683684182197,0.9987439745821778,0.9902896080101674
9,0.9469120389179696,0.011968846465847937,0.9986146197641005,0.9897269939957712
10,0.9455686616425077,0.008917840887406318,0.9984134921393534,0.988246017348889
