epoch,auc,ap,val_auc,val_ap
1,0.3343440083439967,0.00022556874856544446,0.992053515192257,0.9713346312895239
2,0.3276267657122187,0.0001769651520366674,0.9959464092984591,0.9847579947507907
3,0.27740933919638655,0.0002650312234921042,0.9963031724967046,0.9906172195627461
4,0.2107602380818977,0.00028702545230930557,0.9972412309465122,0.9944516059236521
5,0.5771725223488516,0.00020102616092056052,0.9970724044335921,0.9938133022557646
6,0.53930204497253,7.258985412009174e-05,0.9981722902846062,0.9952638777403646
7,0.45838961208125617,6.797506810150848e-05,0.9983997010547931,0.9969099389906193
8,0.5683892560159495,0.00029143272277836054,0.9977034422295883,0.9957256422513939
9,0.3378787431105272,4.6916789083516745e-05,0.9982463713393166,0.9962874884117697
10,0.4189394945103457,5.6604814979933266e-05,0.9972818100804454,0.9954545796105324
11,0.8961879870211391,0.0005664091955677702,0.9981094273726037,0.9965047727181287
12,0.535769203398993,6.196342374203688e-05,0.9978970091030096,0.9948173344042622
13,0.30895800536641554,4.614687349907519e-05,0.9634736112380925,0.3338213381250707
14,0.07505869749507461,5.0875537560274495e-05,0.9869199160610924,0.9736643686732562
15,0.1566518112967119,5.4941990415120035e-05,0.9097496455014458,0.20518569587272759
16,0.466624732047773,5.492959856450649e-05,0.9526251467757454,0.2907240416249079
17,0.48964786780565706,5.3643969009956925e-05,0.9340198579041514,0.2102841557358414
18,0.27616035832061825,4.598336161168825e-05,0.8552534863179715,0.09371367996147269
19,0.37059119489526815,5.542189920771876e-05,0.8628787421390329,0.10564164417929775
20,0.44484605777821984,5.492957570647965e-05,0.9314841186933623,0.21087394454662808
21,0.3885389009260863,5.379669480441453e-05,0.8693420728664127,0.1041866255619202
22,0.38968743380524,5.371784703722433e-05,0.856695753682871,0.10995871236957525
23,0.36964905630839584,5.380208701647052e-05,0.8309144264264072,0.08200039831601201
24,0.3730220405118457,5.37837268981109e-05,0.8506230980142592,0.09267574829082968
25,0.3733420689451139,5.378396498528578e-05,0.8509494481180425,0.09289606108229978
26,0.3844466815123263,5.492957570647965e-05,0.8670717375567791,0.10695953338315298
27,0.38710035484080024,5.337444338103187e-05,0.8535988329325189,0.10888986484773569
28,0.40980664796311794,4.892184020163944e-05,0.8941474478943744,0.21763899743168258
29,0.463730785572882,5.492957570647965e-05,0.8789828523337787,0.21396981439532442
30,0.46109922524300373,5.492957570647965e-05,0.8956786923091076,0.22671820564161285
31,0.46334230426222467,5.492957570647965e-05,0.8967850094228894,0.2274034955300979
32,0.4596591185739844,5.492957570647965e-05,0.8996469117030422,0.21694814439150678
