epoch,updates,auc,ap,val_auc,val_ap
0,0,0.9618724822674498,0.05415851335510406,0.993611959896533,0.9884794336704616
1,1000,0.9847625029149284,0.08246364704613221,0.9995731323068765,0.9995058932454636
1,2000,0.9878494285443087,0.07435218547339238,0.9996590831521741,0.9995924950103777
1,2209,0.9881418821872681,0.07387136961063336,0.9996849591168764,0.9996101343844171
2,3000,0.9892671414490178,0.08084829601307573,0.9997116003872003,0.9996507456224498
2,4000,0.9876587350399403,0.07164816681625417,0.9997266746504461,0.9996890070369656
2,4418,0.9899001652470241,0.0873349004950845,0.9997596836323502,0.9997245278317113
3,5000,0.9898685253369491,0.08873644554237725,0.9997508848414252,0.9997189024351358
3,6000,0.9846871214535937,0.07176528459699556,0.9997696610478528,0.9997432110235583
3,6627,0.9752434301120594,0.05632489337963717,0.9997834395452885,0.9997423237070321
4,7000,0.9807108299383678,0.06911362332905621,0.9997786827367691,0.9997368805815285
4,8000,0.965499751815643,0.05643482739002888,0.9997799052603784,0.9997335435106591
4,8836,0.9653343734621419,0.0628512755100481,0.9997872213299128,0.9997442094229411
5,9000,0.9635556739185228,0.05789633873688222,0.9997992938076335,0.9997407433307021
5,10000,0.9524517816270611,0.06292917375567558,0.9997663586809401,0.9997102134912815
5,11000,0.9607217950565795,0.06934929412005067,0.9997859093068239,0.9997129606124245
5,11045,0.9454289220861132,0.06227065416988798,0.9997818977872688,0.9996974847620651
6,12000,0.9564525906483625,0.07331576389421189,0.9997739641600654,0.9997113663143065
6,13000,0.9437071091187824,0.06903259040264184,0.9997601635629888,0.9996763587864929
6,13254,0.9031756309815453,0.062394833716158817,0.9997247002386306,0.9996672844285666
7,14000,0.9398278925861229,0.06852840752444701,0.9997487830798819,0.9996894260538127
7,15000,0.9369575396032452,0.07934653447436557,0.9997437224622887,0.9996823748218995
7,15463,0.9143707649744697,0.06489686456747666,0.9997248968334829,0.9996314804940679
8,16000,0.9347807266813157,0.06906963533389986,0.9997225189859364,0.9996527723563595
8,17000,0.9238812892811357,0.06397804080636789,0.9997432107239305,0.9996556663318401
8,17672,0.8945909708527138,0.06280117034500218,0.99971198886048,0.9996211427318106
9,18000,0.8328913172634013,0.05659080457418266,0.9996754627579493,0.9995215038686294
9,19000,0.8153593264500455,0.05728157283207004,0.9996130998795787,0.999430449738275
9,19881,0.8608340631581753,0.06927247454650373,0.9997061904476585,0.9995910998193777
10,20000,0.9192168559070878,0.06704941431426244,0.9996935182458596,0.9995689626168751
10,21000,0.8366911520252399,0.05139576631562984,0.9996478509674782,0.9995670789609626
10,22000,0.7569887481405712,0.04887588740217341,0.9996883614920138,0.9996272850879745
10,22090,0.7685957166136286,0.049266572491148505,0.9996416993669912,0.9995175497239464
