epoch,updates,te_mmr,te_hits@1,te_hits@5,te_hits@10,va_mmr,va_hits@1,va_hits@5va_hits@10
0,0,0.0012603247305378318,0.0,0.00034234850318171084,0.0012552778935059905,0.001222658553160727,0.0,0.00039142771856859326,0.0009785692673176527
1,66,0.003704253351315856,0.0,0.00028529041446745396,0.0038799496833235025,0.0036306949332356453,0.0,0.00039142771856859326,0.0037674917839467525
2,133,0.05393783003091812,0.0243638027459383,0.07292023301124573,0.11046445369720459,0.05312957987189293,0.022751735523343086,0.07427340745925903,0.1094040498137474
3,199,0.13045074045658112,0.0924341008067131,0.165297269821167,0.20637910068035126,0.12958002090454102,0.0923769399523735,0.1645464301109314,0.20388491451740265
4,266,0.1828935444355011,0.13311651349067688,0.2278899848461151,0.28437748551368713,0.18035511672496796,0.1301986426115036,0.2260495126247406,0.28329581022262573
5,332,0.1933419555425644,0.1332876831293106,0.2470044493675232,0.3176994323730469,0.1907798796892166,0.13107936084270477,0.2433701902627945,0.3119678795337677
6,399,0.22772309184074402,0.15822206437587738,0.2900262475013733,0.3735022246837616,0.2238343060016632,0.1545650213956833,0.28603580594062805,0.369507759809494
7,465,0.2473401129245758,0.17254364490509033,0.3162729740142822,0.40345773100852966,0.24402131140232086,0.16948820650577545,0.31284859776496887,0.4001369774341583
8,532,0.25936222076416016,0.1825288087129593,0.33162158727645874,0.41903457045555115,0.2554440498352051,0.1777571141719818,0.3259125053882599,0.41672372817993164
9,598,0.264756977558136,0.18555289506912231,0.3400091230869293,0.4295332729816437,0.2611915171146393,0.1817203164100647,0.3353067636489868,0.4249437153339386
10,665,0.2682919204235077,0.18948990106582642,0.34331849217414856,0.4337555766105652,0.26534590125083923,0.18583030998706818,0.3390742540359497,0.42954298853874207
11,731,0.2695541977882385,0.19057400524616241,0.3449731767177582,0.43746432662010193,0.2667524218559265,0.18695566058158875,0.34068891406059265,0.4322829842567444
12,798,0.27012205123901367,0.18977518379688263,0.3466278612613678,0.4390619695186615,0.2675759196281433,0.18720030784606934,0.34426069259643555,0.4357079863548279
13,864,0.27154064178466797,0.19074517488479614,0.3504507541656494,0.4410589933395386,0.26799410581588745,0.18656423687934875,0.34494566917419434,0.43683332204818726
14,931,0.2723452150821686,0.19125869870185852,0.35050782561302185,0.44414013624191284,0.2685246169567108,0.18700459599494934,0.3458263874053955,0.4380076229572296
15,997,0.272464394569397,0.190288707613945,0.3516489863395691,0.44539541006088257,0.2694697678089142,0.18783637881278992,0.34709852933883667,0.43976902961730957
16,1000,0.272751122713089,0.1906881183385849,0.3515348732471466,0.44471070170402527,0.26915040612220764,0.18685780465602875,0.3465113937854767,0.4388883411884308
16,1000,0.2723139226436615,0.19057400524616241,0.352048397064209,0.4451671838760376,0.2689781188964844,0.18646638095378876,0.34753888845443726,0.4383990466594696
16,1000,0.27260255813598633,0.19063106179237366,0.35147780179977417,0.4431130886077881,0.26930519938468933,0.18710245192050934,0.3464135229587555,0.4385947585105896
16,1000,0.27255767583847046,0.1909734159708023,0.3526189625263214,0.44482484459877014,0.26926279067993164,0.18705351650714874,0.34714746475219727,0.4383990466594696
16,1064,0.2739490866661072,0.19257104396820068,0.352333664894104,0.4462512731552124,0.2695745825767517,0.18749387562274933,0.34763672947883606,0.4413347542285919
17,1130,0.2736908197402954,0.1916581094264984,0.35239073634147644,0.4456807076931,0.2696748375892639,0.18656423687934875,0.3493981659412384,0.44422152638435364
18,1197,0.27280813455581665,0.19051694869995117,0.3510783910751343,0.4464224576950073,0.27032235264778137,0.1883745938539505,0.348664253950119,0.44285154342651367
19,1263,0.2740302085876465,0.192456915974617,0.35210543870925903,0.4471642076969147,0.269037127494812,0.18671102821826935,0.3470495939254761,0.4417261779308319
20,1330,0.2730250656604767,0.19091635942459106,0.35187721252441406,0.4473353922367096,0.2682158052921295,0.1852431744337082,0.3470495939254761,0.44348761439323425
21,1396,0.272312730550766,0.1896040141582489,0.35119250416755676,0.4458518624305725,0.26886123418807983,0.18666209280490875,0.34739211201667786,0.4420686662197113
22,1463,0.2722110152244568,0.1898893117904663,0.3519342541694641,0.4472212791442871,0.2677629888057709,0.184753879904747,0.3461199700832367,0.4412858188152313
23,1529,0.2714408040046692,0.18897637724876404,0.3508501648902893,0.4473353922367096,0.2676234245300293,0.18436245620250702,0.3466092348098755,0.4409922659397125
24,1596,0.27197831869125366,0.18943284451961517,0.3512495756149292,0.4471071660518646,0.2676251232624054,0.184753879904747,0.3464624583721161,0.4412368834018707
25,1662,0.27235591411590576,0.18966107070446014,0.35199132561683655,0.44796302914619446,0.26823657751083374,0.18583030998706818,0.3454349637031555,0.4418240487575531
26,1729,0.27151769399642944,0.189204603433609,0.3515348732471466,0.4473353922367096,0.26750317215919495,0.18426460027694702,0.3464624583721161,0.4412368834018707
27,1795,0.2707156538963318,0.18806344270706177,0.34993723034858704,0.4466506838798523,0.2678937017917633,0.18573245406150818,0.3453860282897949,0.44030725955963135
28,1862,0.2713196575641632,0.18914754688739777,0.3502795696258545,0.4465365707874298,0.2666963040828705,0.18343281745910645,0.34460318088531494,0.44016048312187195
29,1928,0.27027127146720886,0.1877211034297943,0.34799724817276,0.4463653862476349,0.2663096487522125,0.18338388204574585,0.3431842625141144,0.4392308294773102
30,1995,0.2699083983898163,0.18652288615703583,0.349880188703537,0.4474495053291321,0.26596152782440186,0.18245424330234528,0.34382033348083496,0.44020938873291016
31,2000,0.2700081765651703,0.18669405579566956,0.3493666648864746,0.44796302914619446,0.2661558985710144,0.18343281745910645,0.34474995732307434,0.43991583585739136
31,2000,0.27022871375083923,0.18737874925136566,0.3494807779788971,0.44756361842155457,0.26594457030296326,0.18309031426906586,0.34426069259643555,0.4388394057750702
31,2000,0.2699805200099945,0.18737874925136566,0.34845373034477234,0.447905957698822,0.2659921944141388,0.18299245834350586,0.34391817450523376,0.4386436939239502
31,2000,0.27006563544273376,0.1870364099740982,0.3491954803466797,0.44687891006469727,0.2658359408378601,0.18255209922790527,0.34489673376083374,0.44006261229515076
31,2061,0.2697297930717468,0.18737874925136566,0.34799724817276,0.44511011242866516,0.26536840200424194,0.18255209922790527,0.34391817450523376,0.43996474146842957
32,2128,0.2684014141559601,0.18612347543239594,0.34765490889549255,0.4439689517021179,0.2648354172706604,0.18264995515346527,0.3420588970184326,0.43756726384162903
