epoch,updates,te_mmr,te_hits@1,te_hits@5,te_hits@10,va_mmr,va_hits@1,va_hits@5va_hits@10
0,0,0.0018621577182784677,0.0,0.00028529041446745396,0.00034234850318171084,0.0017863507382571697,0.0,0.0002935708034783602,0.0003424992610234767
1,66,0.019610797986388206,0.002909962320700288,0.03771539404988289,0.053292252123355865,0.018500031903386116,0.0022017809096723795,0.03606027737259865,0.051277030259370804
2,133,0.14177964627742767,0.10698390752077103,0.16797900199890137,0.2004450559616089,0.1405591070652008,0.10558762401342392,0.16645464301109314,0.19972600042819977
3,199,0.20314110815525055,0.1462969332933426,0.2550496459007263,0.31575945019721985,0.2007630467414856,0.1443389654159546,0.2510030269622803,0.3160289525985718
4,266,0.24191439151763916,0.17083190381526947,0.3095971643924713,0.38537031412124634,0.23576945066452026,0.16342107951641083,0.3041393458843231,0.3842841684818268
5,332,0.2557787299156189,0.18076001107692719,0.32591578364372253,0.40847882628440857,0.2521446645259857,0.17624032497406006,0.32424893975257874,0.4069380462169647
6,399,0.2634361684322357,0.18657994270324707,0.3366997539997101,0.4222298264503479,0.2586791515350342,0.18064388632774353,0.3326646387577057,0.41569623351097107
7,465,0.2676868736743927,0.19045989215373993,0.3400091230869293,0.4265662431716919,0.2637504041194916,0.18587923049926758,0.3392699658870697,0.42328014969825745
8,532,0.2707362771034241,0.193541020154953,0.3437749743461609,0.42976149916648865,0.2653301954269409,0.18685780465602875,0.3389274775981903,0.4281240701675415
9,598,0.2712605893611908,0.19268515706062317,0.34588611125946045,0.4334702789783478,0.2671574056148529,0.1881788820028305,0.342401385307312,0.4292983412742615
10,665,0.27287545800209045,0.19376926124095917,0.3493666648864746,0.4367225766181946,0.26865148544311523,0.1887170821428299,0.3453370928764343,0.4322340488433838
11,731,0.27554258704185486,0.19702157378196716,0.35062193870544434,0.43923312425613403,0.26948437094688416,0.18910852074623108,0.34440746903419495,0.4344358444213867
12,798,0.2774513363838196,0.1992468386888504,0.352333664894104,0.4423142671585083,0.2706853151321411,0.19038066267967224,0.3458263874053955,0.4376161992549896
13,864,0.2778852581977844,0.1985621303319931,0.3539883494377136,0.44254249334335327,0.27140897512435913,0.19126136600971222,0.3465603291988373,0.4378608465194702
14,931,0.27724212408065796,0.1971927434206009,0.35347482562065125,0.44590893387794495,0.27291369438171387,0.19248458743095398,0.348859965801239,0.44074761867523193
15,997,0.27994436025619507,0.20067328214645386,0.3573547899723053,0.4468218684196472,0.273444265127182,0.19287601113319397,0.3500831723213196,0.4421176016330719
16,1000,0.2786479592323303,0.19867625832557678,0.3573547899723053,0.44608011841773987,0.2731485962867737,0.1922399401664734,0.3493981659412384,0.4414815306663513
16,1000,0.27956682443618774,0.19998858869075775,0.3567841947078705,0.44539541006088257,0.27344655990600586,0.19253350794315338,0.35052353143692017,0.4412858188152313
16,1000,0.27887600660324097,0.19907565414905548,0.35621362924575806,0.4463653862476349,0.2742069363594055,0.19365885853767395,0.35076817870140076,0.43991583585739136
16,1000,0.27871689200401306,0.19861918687820435,0.35849595069885254,0.4464224576950073,0.27294600009918213,0.1923867166042328,0.3489088714122772,0.44084545969963074
16,1064,0.2787351906299591,0.19799154996871948,0.35798242688179016,0.4491041898727417,0.2731488049030304,0.19126136600971222,0.3519913852214813,0.44319403171539307
17,1130,0.2784034013748169,0.19588041305541992,0.3590094745159149,0.447620689868927,0.2728560268878937,0.1915549337863922,0.35145315527915955,0.44045403599739075
18,1197,0.28037095069885254,0.1993609517812729,0.3585529923439026,0.44984593987464905,0.2741437554359436,0.1921910047531128,0.3531656563282013,0.44338974356651306
19,1263,0.2798670530319214,0.19804860651493073,0.3599224090576172,0.4507588744163513,0.2741170823574066,0.19263136386871338,0.3525295853614807,0.44427046179771423
20,1330,0.2801189720630646,0.19810567796230316,0.36037886142730713,0.452242374420166,0.2739717960357666,0.1921420842409134,0.3525785207748413,0.445591539144516
21,1396,0.28163719177246094,0.19918978214263916,0.3633458912372589,0.45446765422821045,0.2740025222301483,0.19145707786083221,0.3537527918815613,0.445395827293396
22,1463,0.2793672978878021,0.19770626723766327,0.35741183161735535,0.45349764823913574,0.27270013093948364,0.18994030356407166,0.35512280464172363,0.446178674697876
23,1529,0.2808554470539093,0.1977633237838745,0.3630605936050415,0.4536117911338806,0.2747787833213806,0.19258244335651398,0.35458457469940186,0.4495058059692383
24,1596,0.2801932096481323,0.1974780261516571,0.3616912066936493,0.456807017326355,0.2737486958503723,0.19052743911743164,0.3557588756084442,0.4485761523246765
25,1662,0.2782353162765503,0.1947392374277115,0.3595229983329773,0.4552094042301178,0.2729286551475525,0.19018493592739105,0.3519424498081207,0.4492122232913971
