e,te_auc,te_ap,va_auc,va_ap
8,0.7334903206365351,0.08557063518306274,0.45957103608231376,0.009082936380837799
17,0.740144831297037,0.08487196551056628,0.5116655554171898,0.013992040231158194
26,0.7554723199124875,0.10009713216228733,0.5276504424243054,0.012484145120507158
35,0.7737553888412161,0.09765841109983596,0.5716888051776443,0.012764475996012605
44,0.7967470424335765,0.08779835099647376,0.6161311611649007,0.015100624415968614
53,0.8200291646497533,0.10670631375494553,0.6580976879092598,0.01686174478585435
62,0.8356827960151125,0.07903659436788729,0.7009310973437246,0.018662375416882586
71,0.8388646342837276,0.04327072440784803,0.7369009500534438,0.0216363725546402
80,0.8334970885830549,0.027135509014056865,0.7446823080435437,0.022736922620405116
89,0.817112582438747,0.018103376672512418,0.7687791173306491,0.026034914462290344
98,0.8055753093835655,0.015952971584742372,0.7693250737662104,0.024374116509572916
107,0.7882301948120373,0.014251453448009446,0.7634158295542204,0.022876897401860108
116,0.7719446838504189,0.0132014762467284,0.7760536461089838,0.024689987842677914
125,0.7773107330721892,0.013544662257204403,0.7817104118454871,0.025251052898729913
134,0.753143612542551,0.012319276499835627,0.7881697980552702,0.028380887728464844
143,0.7573503043879465,0.012518759221833932,0.7869575243264185,0.02759254140502525
152,0.7327917960074991,0.011704637669679661,0.7914923215687902,0.02725407183317392
161,0.731454495566064,0.011689063724127124,0.799266800189561,0.02936574629524458
170,0.7258428169178195,0.01377470395316343,0.8106748829945103,0.034589019078183625
179,0.7392372823567979,0.015703775857624266,0.811776529027393,0.038658498968178835
188,0.7557229628880956,0.014741164872868364,0.8597423544306425,0.06977549860421986
197,0.7623053942975023,0.015112617024438618,0.8905995342264839,0.1554864889194694
206,0.7719176437869341,0.01721873926551767,0.9198226800397109,0.31214226806584083
215,0.7920826142418891,0.027040912541705393,0.9271088445080926,0.44064083346287164
224,0.7633347097261254,0.02346746606999676,0.9221931005676453,0.4419865471842622
233,0.7506542716100657,0.022675406201214655,0.9197810752052136,0.36927806050507733
242,0.732370802700801,0.01839653014424083,0.9003643644344821,0.2582455796404917
251,0.7199529242218392,0.01598326201342679,0.9018600500191982,0.22659907883883018
260,0.7222233516691767,0.01644238472595196,0.8930226418161881,0.25573116139424007
269,0.7262716443260526,0.019192260084762925,0.9103664745113097,0.3126354219308829
278,0.7303144544910973,0.02225648858412948,0.90227178740803,0.31659644792948183
287,0.7228104679264711,0.021625051836304508,0.912032055872067,0.39381447866462405
296,0.7218734652470981,0.021276094446427814,0.9118201747558711,0.36367935109155425
305,0.7124947423248149,0.017874768782504286,0.9086434065287853,0.36029808038177447
314,0.7037096663765107,0.015165613799391412,0.9177088803102159,0.4396671757331506
323,0.6835928108215644,0.01243297952135565,0.9097666678773665,0.4385712808189511
332,0.6762518025329747,0.01169874914520022,0.9318951084268167,0.5546209376164879
