node2vec,1.9550564289093018,3.0246694087982178,0,0,0
Euler,0,0.5258588790893555,0.11137962341308594,0.33168911933898926,0.03760123252868652,0
Pikachu,0,39.82854413986206,3.170635938644409,323.183673620224
Argus,0,12.714940786361694,0.7721850872039795,13.75553274154663,0.03415632247924805,0
GFM,0.41182732582092285,6.813671588897705,0,2.4728872776031494,0.6031866073608398,248.2241
