samp,fwd,bwd,step
0.03247785568237305,0.18239855766296387,0.2542603015899658,0.038536787033081055
0.007134437561035156,0.12076711654663086,0.0035660266876220703,0.000858306884765625
0.006824970245361328,0.12067341804504395,0.002821683883666992,0.2731020450592041
0.007208347320556641,0.12073755264282227,0.002916097640991211,0.2546694278717041
0.007031679153442383,0.12094235420227051,0.003004312515258789,0.2551887035369873
0.0065081119537353516,0.1206972599029541,0.0028100013732910156,0.25516653060913086
0.006630659103393555,0.12067031860351562,0.002764463424682617,0.2549581527709961
0.006365299224853516,0.1205589771270752,0.0028858184814453125,0.2558102607727051
0.006463289260864258,0.12059998512268066,0.002891063690185547,0.25575685501098633
0.006474971771240234,0.12088584899902344,0.00318145751953125,0.2547626495361328
