samp,fwd,bwd,step
0.028923511505126953,0.14021039009094238,0.15116167068481445,
0.00133514404296875,0.0521092414855957,0.004255771636962891,
0.0016529560089111328,0.05141019821166992,0.0036077499389648438,
0.0012013912200927734,0.05039811134338379,0.0038890838623046875,0.040201663970947266
0.0013427734375,0.04984855651855469,0.003334522247314453,
0.001829385757446289,0.05103611946105957,0.0033981800079345703,
0.0014662742614746094,0.05007481575012207,0.0031104087829589844,
0.001455068588256836,0.05257916450500488,0.0035355091094970703,0.0009822845458984375
0.001047372817993164,0.05013680458068848,0.003043651580810547,
0.0009496212005615234,0.05112171173095703,0.0031349658966064453,
0.0013756752014160156,0.04995417594909668,0.0029664039611816406,
0.0010044574737548828,0.05199790000915527,0.002954244613647461,0.18226099014282227
0.0012845993041992188,0.05000019073486328,0.0031867027282714844,
0.0015060901641845703,0.04990506172180176,0.0031251907348632812,
0.001020669937133789,0.05191755294799805,0.0032367706298828125,
0.0011246204376220703,0.050026655197143555,0.0033507347106933594,0.16158127784729004
0.0010547637939453125,0.0509796142578125,0.003039121627807617,
0.0018367767333984375,0.050740957260131836,0.003597259521484375,
0.0010173320770263672,0.051419973373413086,0.003182649612426758,
0.0011820793151855469,0.051320552825927734,0.0030679702758789062,0.16531920433044434
0.0009763240814208984,0.05010342597961426,0.0027494430541992188,
0.0009655952453613281,0.05111527442932129,0.0029561519622802734,
0.0009963512420654297,0.051136016845703125,0.0031442642211914062,
0.0009670257568359375,0.05035209655761719,0.002995729446411133,0.16403770446777344
0.0014944076538085938,0.04993438720703125,0.002877473831176758,
0.0009477138519287109,0.05173015594482422,0.0029959678649902344,
0.0014619827270507812,0.05087780952453613,0.003103494644165039,
0.0009105205535888672,0.05109834671020508,0.00307464599609375,0.16176676750183105
0.0014891624450683594,0.05068159103393555,0.0031354427337646484,
0.0010457038879394531,0.05128598213195801,0.0029556751251220703,
0.0014450550079345703,0.05096793174743652,0.002972841262817383,
0.0009520053863525391,0.050322532653808594,0.0031588077545166016,0.16233348846435547
0.0009996891021728516,0.05039644241333008,0.0027892589569091797,
0.0017108917236328125,0.05040907859802246,0.003143787384033203,
0.0015110969543457031,0.05150341987609863,0.0030336380004882812,
0.0014355182647705078,0.04994654655456543,0.0029871463775634766,0.16348576545715332
0.0009982585906982422,0.05221891403198242,0.0029494762420654297,
0.0009815692901611328,0.05124330520629883,0.003040790557861328,
0.0009331703186035156,0.05076026916503906,0.0030460357666015625,
0.0010325908660888672,0.05039381980895996,0.0033414363861083984,0.1632544994354248
0.001636505126953125,0.050401926040649414,0.0031592845916748047,
0.0017910003662109375,0.05090641975402832,0.0034885406494140625,
0.0010411739349365234,0.05025339126586914,0.0030715465545654297,
0.0015211105346679688,0.05050373077392578,0.0029747486114501953,0.1624164581298828
0.0010137557983398438,0.051146507263183594,0.002761363983154297,
0.0014121532440185547,0.05153155326843262,0.0030155181884765625,
0.0009157657623291016,0.04975080490112305,0.003048419952392578,
0.0009250640869140625,0.0517275333404541,0.003000020980834961,0.16093063354492188
0.0009791851043701172,0.050302982330322266,0.0027685165405273438,
0.0013899803161621094,0.0507967472076416,0.003025531768798828,
0.0009284019470214844,0.050241708755493164,0.0030052661895751953,
0.0013709068298339844,0.049910545349121094,0.0030319690704345703,0.16153407096862793
0.0009646415710449219,0.05177736282348633,0.0028154850006103516,
0.0009472370147705078,0.050282955169677734,0.0030012130737304688,
0.0014307498931884766,0.05058026313781738,0.004440784454345703,
0.0008766651153564453,0.05111265182495117,0.002986907958984375,0.16272187232971191
0.0009677410125732422,0.05043601989746094,0.0027985572814941406,
0.001455545425415039,0.05022001266479492,0.005478858947753906,
0.001085042953491211,0.05242443084716797,0.004778385162353516,
0.00109100341796875,0.05098271369934082,0.006146430969238281,0.16028380393981934
