samp,fwd,bwd,step
0.02496170997619629,0.09426236152648926,0.04932117462158203,0.03698158264160156
0.0009708404541015625,0.003795623779296875,0.0031981468200683594,0.00086212158203125
0.0008542537689208984,0.0032308101654052734,0.0027043819427490234,0.07121920585632324
0.0009150505065917969,0.003935813903808594,0.0029022693634033203,0.05138134956359863
0.0008673667907714844,0.0032553672790527344,0.002691030502319336,0.0489804744720459
0.0008382797241210938,0.002931356430053711,0.002649068832397461,0.04922318458557129
0.0008492469787597656,0.003026247024536133,0.002864837646484375,0.04904460906982422
0.0008661746978759766,0.003204822540283203,0.002753019332885742,0.04699301719665527
0.0008409023284912109,0.0031540393829345703,0.0027213096618652344,0.04691743850708008
0.0008339881896972656,0.003144502639770508,0.0026831626892089844,0.04699969291687012
