epoch,updates,auc,ap,val_auc,val_ap
0,0,0.761825472823888,0.36575247001626443,0.9104916507908746,0.9302415649297003
1,841,0.8789479182309584,0.4470506748976601,0.9737822352364985,0.9789315591530676
2,1000,0.9555154336765516,0.471180230779771,0.962911398321621,0.9704127921108013
2,1682,0.968534875985621,0.4579349697528383,0.9428010028622016,0.9535380333423591
3,2000,0.9688680873570732,0.4620471424638921,0.9481840179776543,0.9574894244089754
3,2523,0.9600084840009441,0.44761015096904616,0.9480631744765848,0.9571888427778629
4,3000,0.9528131100047986,0.4364031966573992,0.9538940839966015,0.9614816007641367
4,3364,0.90471738147694,0.4252868357523555,0.9550871405673957,0.9621492578774518
5,4000,0.8132023313403453,0.41440084215362233,0.9565362716006903,0.9631915633026964
5,4205,0.8315122748233713,0.42257960358102564,0.9553549644874278,0.9622857118369131
6,5000,0.8106996117485483,0.4252203394209732,0.959534464401781,0.9655199092138355
6,5046,0.8129665910878158,0.40627490626346324,0.9594300254946743,0.9653660273322997
7,5887,0.821752853185296,0.42155074397957715,0.9607979219600954,0.9665964342673274
8,6000,0.8280459400541171,0.42086790067601904,0.9594778754643604,0.9654896522084745
8,6728,0.7686179422882704,0.40810750195181184,0.9546965277877338,0.9621670237822937
9,7000,0.7563028588070915,0.4035688708623141,0.954757273152526,0.9621345791895287
9,7569,0.7508789365394744,0.40686967035849025,0.9555483057492336,0.9632746888355784
10,8000,0.7500777755256268,0.4132534585995351,0.956668883226852,0.9648066399997551
10,8410,0.7486445625101168,0.415362223156391,0.9629718854950406,0.9691181196278923
