epoch,updates,auc,ap,val_auc,val_ap
0,0,0.9756859703124459,0.9654313467848759,0.6269841663597724,0.7246764057517217
1,500,0.9892062358822925,0.9764886389186337,0.8515651834835528,0.8860347161289981
1,1000,0.9893559099942422,0.9784696815878576,0.8911881952841592,0.9140660014312658
1,1500,0.9869263574133856,0.9753221233147429,0.9445424712711309,0.9557209233057806
1,1734,0.9875303024112491,0.9711431515123623,0.972507441659488,0.9804040032773169
2,2000,0.9881116380624652,0.9711054673454701,0.9806517754228654,0.9859251526852413
2,2500,0.988233426014098,0.9741822797567544,0.9765931882943828,0.9847424229742732
2,3000,0.9921835180630879,0.9840110675645359,0.9718804849320771,0.9827430981220556
