epoch,updates,auc,ap,val_auc,val_ap
0,0,0.9696535678068812,0.9599584618016944,0.6540582418087084,0.7476107057310875
1,500,0.9892062076257077,0.9754891713039349,0.8808539865443386,0.9078928367158386
1,1000,0.9888269446129669,0.9761376119336993,0.9057647663220948,0.9253787342767967
1,1500,0.9872468400253052,0.9694304237983438,0.9699610007175262,0.9759457614359044
1,1734,0.9878524051258682,0.9748131095055681,0.9692999795383679,0.9812320563867089
2,2000,0.9877844164340785,0.972712936654253,0.9702003857344683,0.9824146012303809
2,2500,0.9897178312353305,0.9767177634446524,0.9779934222037405,0.9870477581721318
2,3000,0.987954890846442,0.9787195071248507,0.980694147741742,0.9887924077897703
2,3468,0.929751865626668,0.9455828935461882,0.9851806848650243,0.9914066262191645
3,3500,0.9179185151950775,0.9366631345009186,0.9834974138085154,0.9905808064098952
3,4000,0.46207922896430575,0.6780469329672221,0.984129573970964,0.9905550536683053
3,4500,0.39177779518134104,0.6318919921601883,0.9732259456787825,0.9826848568214088
3,5000,0.2655678479710978,0.4625204572666999,0.9577636532309651,0.9741073498700819
3,5202,0.20862072142883967,0.43475432271377673,0.9570306674664455,0.9736763847606156
4,5500,0.19220187787772142,0.42923211836919906,0.9583684044108512,0.9747187058566049
4,6000,0.13482148804448177,0.411335077188321,0.9423359068361249,0.9648710090748954
4,6500,0.150550112834719,0.4135193298702605,0.943454335250555,0.96591191892887
4,6936,0.12867641454454615,0.41013690519736895,0.9238595283592901,0.9544131656160724
5,7000,0.1335415054267455,0.4118014529523752,0.9216312356985314,0.9529534004517597
5,7500,0.1373419716281386,0.4129268697269008,0.9138933490145995,0.9478441648810548
5,8000,0.1304720730329414,0.41063217572293215,0.9065802765782933,0.9431197279272459
5,8500,0.14244084595898776,0.4125269383410901,0.911059092028864,0.9448060135318854
5,8670,0.15185769787453873,0.4149248535474095,0.910284483286599,0.9441534821577872
6,9000,0.15961036943665682,0.41646927577330206,0.908956011712599,0.9432675879648688
6,9500,0.16299755638670385,0.41780884751525305,0.9144533813232824,0.9466642993679361
6,10000,0.16350834249221297,0.4176787872707034,0.9108157955370084,0.9433206883913631
6,10404,0.17915882647359627,0.42087522815304423,0.9151128436238272,0.9452273180885241
7,10500,0.18584682575046044,0.42268787800692076,0.9233800733383922,0.9504246493135818
7,11000,0.21532244022888938,0.43046824544963497,0.9306961382310307,0.9543256632484524
7,11500,0.2006467306819649,0.4265798552504512,0.9329715500620612,0.954835098961573
7,12000,0.21708934183293857,0.4311210636430862,0.9426179479953042,0.9607048828923478
7,12138,0.23849167891755918,0.43676866289708477,0.9401123187696534,0.9589775667176601
8,12500,0.21901611305126736,0.43152522576930424,0.946834963056156,0.9629852950372637
8,13000,0.2492976383526343,0.44004516134316396,0.9500608276357698,0.965277950309216
8,13500,0.2731957188960988,0.4473059914494276,0.9482218881770137,0.9641783719917267
8,13872,0.2693715713248208,0.44616984211993505,0.9516124946128485,0.9659718271934183
9,14000,0.2797332712697439,0.4495273250024884,0.9569343146682316,0.9698117573267414
9,14500,0.2838900107228654,0.4504754344698857,0.9558638360444758,0.9687938623823025
9,15000,0.3201601189762188,0.46220823506017483,0.9607794065853239,0.9726342807366374
9,15500,0.3002192121645871,0.45558773195013924,0.96284005153677,0.9739958936147243
9,15606,0.3168052851769672,0.4606820272059104,0.9607373199861552,0.9726286980941125
10,16000,0.34803686431836983,0.47156242558907074,0.9632045247939365,0.9744150703325243
10,16500,0.3537781397849462,0.4733282477745163,0.9677589910957928,0.9766348311176234
10,17000,0.36024334685602083,0.4759787168085175,0.964103252073653,0.9742566199309236
10,17340,0.3154254489974522,0.46082862843934563,0.9650357898061276,0.9745104416023963
