epoch,auc,ap,val_auc,val_ap
0,0.9080889355168188,0.0006794495603682556,0.9951788464196458,0.9029070500640675
1,0.8415171053659856,0.0003377029163935967,0.9949337947814483,0.9577855947424582
2,0.8704625949139144,0.0006285425723714522,0.9955034319265021,0.9617104752671679
3,0.8703637248408523,0.0008457990646279778,0.9961770785420693,0.9713603339759656
4,0.8899236935716724,0.0007867101971212771,0.9962073896024866,0.9707459852111584
5,0.8734473673620793,0.0007398873032922138,0.9967431068417029,0.9760256278341951
6,0.9237473708262598,0.0014728183707313203,0.9972089538792732,0.9782526858584322
7,0.9238155620300129,0.0012487491879898257,0.9974358424024211,0.9809572965701256
8,0.9422309355969981,0.0016760944062119668,0.9973591032934978,0.9765039361985001
9,0.9487567056391402,0.002053290821333862,0.9980064883680956,0.9825894454400346
10,0.9591653593388755,0.0044404914612277795,0.9981865086696999,0.9852469508218769
11,0.9632074288426469,0.008848112080436631,0.9982848008564249,0.9870423307236994
12,0.970970516367585,0.017607180810270993,0.9986046574066625,0.9892782132760528
13,0.9711320998378621,0.02269625028130141,0.9986409966330403,0.9919286313677309
14,0.9780889472448422,0.023662509134201294,0.9988277126466231,0.9924689178134768
15,0.9826999614400251,0.02761724832297191,0.9985649780159702,0.99180785811647
16,0.9810113058017611,0.026020932016442743,0.9987820943163455,0.9938476047943415
17,0.9851324102017105,0.04516580018548891,0.9988357836447965,0.9938688119956477
18,0.9830141936446196,0.0412292041088708,0.998624379261719,0.9941088587051716
19,0.9840274696281716,0.04570168686122567,0.9985711138064383,0.9941147742291064
20,0.9849960404049819,0.04448903742250981,0.9987207415217662,0.9943370871016697
21,0.983176718194178,0.05548560635120987,0.9987698152470779,0.993914213261926
22,0.9875291830734461,0.042719343599506326,0.9989275186639939,0.9940144639182598
23,0.9877262107106336,0.04088405475194214,0.9987378152215888,0.9937688318398422
24,0.9879475519271154,0.04431897462949643,0.9988691855266487,0.9943670232766819
25,0.9829808980389497,0.04186196620930811,0.9988147377578015,0.9938329897514028
26,0.9903787995122303,0.04364172672911175,0.9988247987985435,0.9938591082729842
27,0.9909386266114067,0.0420429244224358,0.9988274337777321,0.993831822985547
28,0.9915923551372544,0.043063437103364785,0.9989567245486182,0.9943071952752407
29,0.9893318117673461,0.03844883414575442,0.9987792471441825,0.9938449467093162
30,0.9891963562519968,0.039647819710010496,0.9989551984584447,0.9943386701927082
31,0.9904774599311141,0.03957302550044622,0.9989193842492877,0.9939150785199842
32,0.9905763977871062,0.039840715173749874,0.9989995465042038,0.9939797508605128
