epoch,auc,ap,val_auc,val_ap
0,0.976042290545482,0.0025705339405197748,0.9983392108506024,0.9691047026961545
1,0.981362686204595,0.02896479729765994,0.9991617478563696,0.9933739456555737
2,0.977874330725538,0.021912846963852713,0.9990806496984997,0.9936459465917468
3,0.971187866272943,0.0530773025991078,0.9989177030436719,0.9938747823626127
4,0.9805221463477971,0.05320317798262619,0.999098847146121,0.9939050668890592
5,0.9760274413548081,0.03590623459346158,0.9990010287695126,0.9940436818833304
6,0.9720714845461668,0.03538723921999098,0.9989448908302699,0.99353892514641
7,0.9626642574280413,0.04062071485258857,0.9989880758181726,0.9927282692273616
8,0.9539511700727179,0.025977185592054843,0.9987713353784133,0.9920740075425677
9,0.9485858800451985,0.016955995262934544,0.9985745409809824,0.9899709996132913
10,0.9444868649986365,0.01017471034503483,0.9984890637905467,0.9877538254075434
11,0.9347608689486601,0.011828556958430297,0.9984120316523883,0.9880396116456118
12,0.9410105591176169,0.008131055659774447,0.9984080333400446,0.9852499605062842
13,0.9413111243919414,0.0074263646031737275,0.9984490378000199,0.9823899863637046
14,0.9357712145027575,0.004411531001429176,0.9982648552974048,0.9818148398522856
15,0.932365473804382,0.0034184347032604604,0.997899121569929,0.9779154366165399
16,0.925510636554097,0.003318760005512315,0.9983648587403234,0.9843787859073976
17,0.9358872825238292,0.0037600448803783975,0.9981922074021115,0.9811587268512602
18,0.929897059104861,0.0033621877998990337,0.9982338725828488,0.9830815600250326
19,0.939063704112517,0.003601381426802585,0.9984571996188962,0.9833086353180116
20,0.9261671268402483,0.00239907987696936,0.9982038452096706,0.9812215709613717
21,0.9366062749766698,0.0023776554063540734,0.9984021383019457,0.9808064229877331
22,0.9359202266040724,0.002684837940150774,0.9982018366776124,0.9805726426326639
23,0.9388204296010211,0.0023484911265558767,0.9983761185330082,0.9820341751001009
24,0.9353253636119113,0.001801702830535549,0.9982889676724405,0.9837730109326618
25,0.9384897261444789,0.0025259676285246716,0.9982086331917894,0.9798089593313902
26,0.9392677764453651,0.00250704228131825,0.9984381565261469,0.9831861880697681
27,0.9375385014923153,0.0020128403158846723,0.9983595484021268,0.982042395983682
28,0.9384902148121125,0.0023471379159505767,0.998301257150519,0.9820901825203299
29,0.9373394860813019,0.0019337091765812696,0.9984077860305962,0.9829505131361624
30,0.9371790076304158,0.002094515710596528,0.9985689001718923,0.9832663985946826
31,0.939653251661902,0.0021868565130961108,0.9985128114387394,0.9832775453256724
32,0.9392107111001868,0.0021949872583190678,0.9986035093519925,0.9833056946438337
