epoch,auc,ap,val_auc,val_ap
0,0.9792026270872871,0.004705836071528387,0.998678167232216,0.9726364916304158
1,0.9799341909090895,0.031617688611526924,0.9990387651016868,0.9929204061400405
2,0.979881859334569,0.03133420331888277,0.9991681721111667,0.9934308963582829
3,0.9818822833467455,0.04492064023396958,0.9991990524704544,0.9942544254951691
4,0.9832260074185926,0.056401488022899564,0.9989174326326762,0.994000003638332
5,0.9732288055609898,0.047645298458955467,0.9991346759812483,0.9931464310736686
6,0.9768049084072283,0.046471570220318816,0.9990594320337136,0.9937153618566367
7,0.9688469134320936,0.04097980425402054,0.9988424357234658,0.9913838719905317
8,0.9627573092035688,0.03878834367842973,0.9987845248354928,0.9915058762728305
9,0.9488539552272752,0.00937429631930092,0.9984021442784654,0.9859649823579502
10,0.9474048917534355,0.007675451447010558,0.9985107977111168,0.988084667019374
