9.24741268157959,1,257024
9.232870101928711,2,526336
9.270894050598145,3,762880
9.241886138916016,4,1024000
9.251527786254883,5,1281024
9.219165802001953,6,1550336
9.220770835876465,7,1811456
9.1875581741333,8,2101248
9.139545440673828,9,2374656
9.136992454528809,10,2635776
9.114180564880371,11,2892800
9.041211128234863,12,3170304
9.032632827758789,13,3419136
8.961126327514648,14,3680256
8.892891883850098,15,3945472
8.834222793579102,16,4198400
8.789299011230469,17,4451328
8.749984741210938,18,4687872
8.654319763183594,19,4944896
8.57151985168457,20,5206016
8.504043579101562,21,5458944
8.443700790405273,22,5705728
8.368008613586426,23,5932032
8.275259017944336,24,6172672
8.142728805541992,25,6450176
8.102924346923828,26,6699008
