epoch,auc,ap,val_auc,val_ap
0,0.9643768577803536,0.000951333231368416,0.9795766968634397,0.39870406900566707
1,0.9457762303134568,0.006657391679340363,0.9934412710358184,0.8407057293824989
2,0.9373705590374122,0.0005986826984110622,0.9905588343267357,0.7095078322534382
3,0.9350255360680788,0.0005769761360232618,0.9926539515538497,0.8311124009088776
4,0.9296569183716092,0.0005070061029659459,0.9918320108650662,0.8176095707143741
5,0.9239844755147943,0.0006060821399157583,0.993311535258812,0.8846112970996993
6,0.922166832113764,0.0004158434192147889,0.9908135026596833,0.8279424323027926
7,0.9177781427757187,0.0004471090202258465,0.9869355123787882,0.7270209638268137
8,0.9185990334646028,0.0004116810218237811,0.989591557228839,0.8242960207124037
9,0.9120748902127768,0.0003579227255207932,0.9903204636596132,0.8395323732980614
10,0.9160301423942173,0.00036768889254146675,0.9891647757745212,0.804169756778026
11,0.9082517059765414,0.00036074473303202785,0.9926370375815273,0.8900748617745856
12,0.9138111751818483,0.0004380889918982979,0.9921257669338795,0.8796267178809746
13,0.9110440552977052,0.0003626522818874072,0.9924562463412919,0.8864913769886613
14,0.8896825203310013,0.00029679540143304873,0.9939376128882125,0.9117484549961898
15,0.8978245144336718,0.0003057781628109842,0.9942570969816211,0.9199520729098416
16,0.910004178455064,0.00037996981157943703,0.9945582262398276,0.9293599425138421
17,0.9075295671346791,0.00036814385659119476,0.9936642339697872,0.9113905025641514
18,0.9227318217500377,0.00048555052422420925,0.9945448496245545,0.9270875070022379
19,0.9191347440278856,0.0004588509976082755,0.9935161944851137,0.9098648796146176
20,0.920799549532934,0.0004779583004548653,0.9951345506271767,0.9349275050135193
21,0.9200985636942194,0.0004171585945155618,0.9958268391041385,0.9429225398573242
22,0.9193992156802511,0.00044786234925438435,0.9941601180820658,0.9198416277308011
23,0.923263526815072,0.00044901255288742165,0.9951906376333863,0.936250893792765
24,0.9205310282445984,0.00043716944218120295,0.9962385778232696,0.9504378626201098
25,0.9242958498019055,0.0005107712067461645,0.9962100331427155,0.9502038808010963
26,0.9236708218296243,0.00046574785185378583,0.9963370366216912,0.9475483240670466
27,0.9247381964729144,0.0004989362707953212,0.9957535671812031,0.9418219473971501
28,0.924998178688439,0.0005208100683762267,0.9957697334903151,0.9415142209314044
29,0.9260451617042816,0.0005222080927040241,0.9959782586761605,0.9434426331927603
30,0.9255456755997759,0.0005464263641267693,0.9961267844102453,0.9435161109868456
31,0.9267086541247186,0.0005738023240752775,0.9958065414609131,0.9391407771558101
32,0.9267388254102277,0.0005857628861802343,0.9958757454426919,0.9400939189785118
