,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.2833620811823585,0.4746763586419759,0.6250273737315386,0.78312437992782,0.6336117717818003,0.7873045778988167
1,0.23952030340351124,0.44400063327395334,0.5974438549944234,0.7678668797316119,0.6224769953620889,0.7838476842807177
2,0.06413844308796478,0.3933994816810552,0.6167839685090531,0.7766565303178383,0.6278484734910347,0.7835057478204552
3,0.11191583693049396,0.4020689847101002,0.6378078278963629,0.7892910517794126,0.653166345769124,0.7962998663669508
4,0.3630999817526164,0.5114312038258001,0.6438750360768616,0.7934076111614484,0.6462318790663417,0.7936395592971993
5,0.2763623260782971,0.4912036616998737,0.6270227089948662,0.7848058688167723,0.6270227089948662,0.7848058688167723
6,0.3170032379983529,0.5151031518486583,0.6135008021842884,0.7747569575747946,0.6295246509094237,0.7828202417203551
7,0.12977632395645822,0.4060483480771264,0.6314983440086365,0.7826704487958155,0.6514377335645173,0.7940842897452057
8,0.30029916913120763,0.5026043188195684,0.5846728129681334,0.7605744008657234,0.6389904080092225,0.7872151417679489
9,0.2212096016980608,0.47999811594252567,0.6002483439116691,0.7669125926711083,0.6204611524944449,0.7752770956955122
mean,0.23066873052193215,0.46205342585206377,0.6177881073275834,0.7780066721642346,0.6350772119442865,0.7868800073409934
sem,0.028104717312816947,0.01348462733392712,0.005430985515327256,0.003016407505863938,0.0033805942327677025,0.0018156177599792907
