,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.27878157344405163,0.46143277549919776,0.4580419621989885,0.6607524983783162,0.4580419621989885,0.6607524983783162
1,0.37090259169310913,0.5266633984308301,0.4659429290851014,0.6457777236930959,0.4659429290851014,0.6457777236930959
2,0.21898094000562945,0.4740745732489571,0.5253975004363464,0.6963883994549793,0.5253975004363464,0.6963883994549793
3,0.29960158303271683,0.535069026370666,0.48086293569949884,0.6722133438675646,0.48086293569949884,0.6722133438675646
4,0.18743008719888166,0.4379379359569107,0.47111266686598907,0.6533781525435319,0.47111266686598907,0.6533781525435319
5,0.28783188716103814,0.470063198597643,0.48067389575613995,0.6791278539170671,0.48067389575613995,0.6791278539170671
6,0.4484277773658915,0.5797647439807054,0.4518898522407863,0.6505279756911708,0.4518898522407863,0.6505279756911708
7,0.39006944458378606,0.5403812863907616,0.48874895284443504,0.6984603437087853,0.48874895284443504,0.6984603437087853
8,0.27499498116965204,0.5365064836658681,0.464719034349114,0.6646431290290368,0.464719034349114,0.6646431290290368
9,0.4510249651304466,0.619318247537106,0.5097221414286509,0.709277591598624,0.5097221414286509,0.709277591598624
mean,0.32080458307852033,0.5181211669678646,0.47971118709050503,0.6730547011882173,0.47971118709050503,0.6730547011882173
sem,0.02595634244105996,0.016272427083583507,0.006608312432543547,0.006324806265233328,0.006608312432543547,0.006324806265233328
