,auc,ap,auc_last,ap_last,auc_snooped,ap_snooped
0,0.25173265216262064,0.4457940030607383,0.6345417902710505,0.7902284007111583,0.661241202239177,0.7977078171589729
1,0.5116398467200569,0.67528170175446,0.6306578873730615,0.7891979318523843,0.6387465373318596,0.7903896398094102
2,0.6715398526450563,0.6998840788251415,0.5072073181479068,0.5777005334378483,0.7569945506658605,0.7797941800723087
3,0.2857079042090558,0.46261895821453647,0.6302176557063872,0.7838100124214169,0.6539497442374584,0.7950336225080948
4,0.19087895443354339,0.4437887078302501,0.5787093535038381,0.7561264276020306,0.6716969295610175,0.7611808512602949
5,0.2573211800853708,0.5330382891878337,0.6200981283058317,0.7791201427110411,0.6351307146510962,0.7890910953704561
6,0.45401579577152,0.626761268840992,0.5342057922077874,0.7357675978127122,0.7047403294869847,0.8037849461119235
7,0.4090342443944585,0.6481501126093259,0.6248084283385975,0.7825088744867951,0.7603272506013198,0.8290754111497726
8,0.28297627969417,0.4736375089587295,0.6181578585694223,0.7755893354844585,0.6450849224898156,0.7280147013862011
9,0.2296514425679889,0.4496270716390064,0.623090528293056,0.7827590446834118,0.7615430257567569,0.7944705511733092
mean,0.35444981526838415,0.5458581700921015,0.6001694740716939,0.7552808301203258,0.6889455207021347,0.7868542816000743
sem,0.043723969555235026,0.03007320773691617,0.01290552568417191,0.018483168425113366,0.01503794184799015,0.007687385149206014
