epoch,auc,ap,val_auc,val_ap
1,0.49946783779427606,0.00010956386533871546,0.984197923760612,0.9291725241590317
2,0.32827550509916165,0.0003412119770616353,0.9929459470808106,0.9775556588889103
3,0.2766042655753602,0.00015046485007764863,0.9940119536946128,0.9783675112517564
4,0.3620653129576964,4.099123473227676e-05,0.9948194684439093,0.9756698688059391
5,0.385927282964702,0.00026753203763967736,0.9954468454624188,0.9821208689034822
6,0.40361824617350234,0.00035092761241455056,0.9966550744592068,0.9876378711137839
7,0.40718793171026824,0.00015029776344729738,0.9961877864231945,0.9865268810541825
8,0.3253585959745314,0.0010703809676033311,0.9967056923309721,0.9891713030203291
9,0.4306655866922802,0.00022763890849547352,0.9969072498938187,0.9907885566444077
10,0.4661698392293574,4.981787223141342e-05,0.9973369777871098,0.991471165749845
11,0.5400245920883184,5.745884436052805e-05,0.997649443112303,0.992188140400285
12,0.4939292851400359,0.0001164830605126525,0.9980950271899127,0.9933983683801656
13,0.5649919834547606,6.121498730085233e-05,0.9979296243563928,0.9920414698922373
14,0.5117050952371602,0.00019216091431574462,0.9978766817805287,0.994903448590219
15,0.5259046322425476,5.672121663027382e-05,0.9982179314482543,0.9944196325666264
16,0.5802134742350652,6.444603918990903e-05,0.9982196704092123,0.9945152931322478
17,0.48298277704481835,5.1494974288726945e-05,0.9980677274084035,0.9947934785727657
18,0.48862297099050755,5.203481322519473e-05,0.9982936276721628,0.9956094878039445
19,0.6284497097509724,0.000414255684698267,0.9987435633634334,0.9968962479337241
20,0.7991597006937856,0.0008424531817478897,0.9987999891510819,0.9969695130111182
21,0.8193666527607623,0.0037059214323927002,0.9988671649826111,0.9974417077290525
22,0.5940056783935675,0.0007643128488809473,0.9984804384701663,0.996867443796695
23,0.67621042752163,0.00022554228724850375,0.9988837979848297,0.9973266921403998
24,0.7043737493497725,0.000689016868395948,0.9986824138294657,0.9972464097903617
25,0.7004545245837085,0.00034203614066444715,0.9989752282457248,0.9976035342630967
26,0.8209437597653921,0.0025865056031540348,0.9991158317050317,0.9980241065032137
27,0.7004116589741554,0.00013422038276016376,0.998885135858836,0.9975476498303776
28,0.7783440925966021,0.0016660239356860746,0.9990459296079848,0.9978382535076181
29,0.7566222913578682,0.0014822662523560227,0.9990027324136006,0.9976334033196733
30,0.7978479559776922,0.0015678161424758845,0.999174975989901,0.9981654580063005
31,0.7974557387241583,0.0026129979105257712,0.9990986256494621,0.99800371034674
32,0.7856845141453894,0.0013876351543311196,0.999044315296364,0.9978912768130898
