epoch,auc,ap,val_auc,val_ap
1,0.6535032942062519,0.001185373793740264,0.998362014017119,0.9946454505608039
2,0.7197156478350051,0.0015708669304860907,0.9990305747499384,0.9978509294190739
3,0.8405784505064369,0.001422540315959331,0.9993478193459129,0.9985082609153411
4,0.5572773575719542,0.0018062391703026017,0.9988426516502913,0.9974150465256431
5,0.882216846962324,0.0040878621987053285,0.9986680220840413,0.9969079461418954
6,0.9358165423666452,0.007259354786522539,0.9984250900474545,0.9975005461589198
7,0.6730033002657305,0.00014203108223618638,0.9981307709156266,0.9886309457365763
8,0.5701115430218382,6.399224522315445e-05,0.673601694132057,0.05975032066877695
9,0.5000002080778312,5.492957570647965e-05,0.4999648003173508,0.028555536987800573
10,0.5000004161556622,5.492957570647965e-05,0.499929392564583,0.028540207535381213
11,0.5000004161556622,5.492957570647965e-05,0.49992231101344003,0.02853981491483589
12,0.5000004161556622,5.492957570647965e-05,0.49997896342258374,0.028542956181800656
13,0.5216584052831793,5.7416492713542594e-05,0.4973039489721158,0.02839537556829092
14,0.5000004161556622,5.492957570647965e-05,0.49995771876915485,0.028541778125634843
15,0.5000004161556622,5.492957570647965e-05,0.4999081479111541,0.02853902970616704
16,0.489149669576818,5.4621126170671165e-05,0.5117934905940927,0.030046873109357934
17,0.4999993757665067,5.492957570647965e-05,0.500035199688543,0.028695308784373885
18,0.5000004161556622,5.492957570647965e-05,0.499936474115726,0.028540600166733782
19,0.5000004161556622,5.492957570647965e-05,0.499929392564583,0.028540207535381213
20,0.5000004161556622,5.492957570647965e-05,0.49994355566686893,0.02854099280889359
21,0.5000004161556622,5.492957570647965e-05,0.49992231101344003,0.02853981491483589
22,0.5000004161556622,5.492957570647965e-05,0.49994355566686893,0.02854099280889359
23,0.5056413998513013,5.555678817511988e-05,0.4893181658210199,0.027964352760509396
24,0.5000004161556622,5.492957570647965e-05,0.499929392564583,0.028540207535381213
25,0.5000004161556622,5.492957570647965e-05,0.499936474115726,0.028540600166733782
26,0.41543928962934673,4.7450618483973e-05,0.45659450096284177,0.0263158612658934
27,0.5000004161556622,5.492957570647965e-05,0.49995771876915485,0.028541778125634843
28,0.5000004161556622,5.492957570647965e-05,0.49992231101344003,0.02853981491483589
29,0.502055808971234,5.515629916275245e-05,0.49169257595682697,0.02809078106698376
30,0.5000004161556622,5.492957570647965e-05,0.49995771876915485,0.028541778125634843
31,0.5000004161556622,5.492957570647965e-05,0.49996480032029783,0.02854217080021627
32,0.5000004161556622,5.492957570647965e-05,0.49994355566686893,0.02854099280889359
