,best-auc,best-ap,snooped-auc,snooped-ap,last-auc,last-ap
0,0.9559724872974457,0.2902967011964435,0.9628026652716817,0.3113511025214988,0.8764049247369038,0.10201793732919512
1,0.9691218612148087,0.3136743456852732,0.9692540754706448,0.37244789143216606,0.8409434089883184,0.07322552879593588
2,0.9631443589889861,0.35841800286934633,0.9655230570297214,0.38159324052093585,0.8983487120792245,0.14996004859769765
3,0.9521708102259521,0.235780570349018,0.965955946309261,0.2747995537645447,0.7947038935815647,0.053611850245088744
4,0.9554805939926123,0.26864323934686724,0.9688852520390456,0.3639852269669187,0.8696740246902193,0.12694279038507966
5,0.9664620458193429,0.3647176955272477,0.9703369193289463,0.38350316414832275,0.8819470136680797,0.13639386870779807
6,0.9397336775115275,0.1595111944558306,0.9654996236872777,0.2796863946665013,0.8453489325374621,0.06467303478285201
7,0.9680391966581269,0.3675277953396232,0.9683627257421185,0.38577289734217673,0.8992223109474066,0.1479013561700665
8,0.9691427705421453,0.37328653387645805,0.9691427705421453,0.37328653387645805,0.8833869160132456,0.1611142381132972
9,0.9702292831874333,0.41218330325540625,0.9773780387624724,0.3969467550551503,0.9227853298393976,0.1978233661122511
mean,0.9609497085438381,0.31440393819015144,0.9683141074183315,0.3523372760294673,0.8712765467081823,0.1213664019239262
sem,0.002840225692119748,0.021985108460928597,0.0011273202786200157,0.013102487204899973,0.01040634530715319,0.013382791883773348
